Откуда;Куда;День;Поставщик;Стоимость
OSS;UUS;3;47;70635
OSS;UUS;3;47;70635
OSS;UUS;3;47;73500
OSS;UUS;3;47;73500
OSS;UUS;4;47;47365
OSS;UUS;4;47;51950
OSS;UUS;6;47;62030
OSS;UUS;6;47;65190
OSS;UUS;7;47;71010
OSS;UUS;7;47;73880
OSS;UUS;1;47;65650
OSS;UUS;1;47;68660
OSS;UUS;5;47;62030
OSS;UUS;5;47;65190
OSS;UUS;2;47;47365
OSS;UUS;2;47;51490
BGW;MOW;3;3;27340
BGW;MOW;3;3;27340
BGW;MOW;3;3;30540
BGW;MOW;3;3;87920
BGW;MOW;3;3;295470
BGW;MOW;6;3;75440
BGW;MOW;4;3;75990
BGW;MOW;4;3;103910
BGW;MOW;4;3;108640
BGW;MOW;4;3;225820
BGW;MOW;4;3;225820
BGW;MOW;7;11;24740
BGW;MOW;7;3;26970
BGW;MOW;7;3;26970
BGW;MOW;7;3;26970
BGW;MOW;7;3;27640
BGW;MOW;1;3;75910
BGW;MOW;1;3;75990
BGW;MOW;1;3;225820
BGW;MOW;2;3;75990
BGW;MOW;2;3;123000
BGW;MOW;2;3;125120
BGW;MOW;2;3;135160
BGW;MOW;2;3;137280
BGW;MOW;5;11;19880
BGW;MOW;5;3;24560
BGW;MOW;5;3;27780
BGW;MOW;5;3;28600
BGW;MOW;5;3;28600
KRR;KHV;3;36;21350
KRR;KHV;3;47;25380
KRR;KHV;3;47;25980
KRR;KHV;3;47;25980
KRR;KHV;3;47;25980
KRR;KHV;4;30;19380
KRR;KHV;4;36;21350
KRR;KHV;4;47;25380
KRR;KHV;4;47;25980
KRR;KHV;4;47;25980
KRR;KHV;6;36;21440
KRR;KHV;6;47;25980
KRR;KHV;6;47;25980
KRR;KHV;6;47;27120
KRR;KHV;6;47;28170
KRR;KHV;7;45;17460
KRR;KHV;7;45;19490
KRR;KHV;7;36;21350
KRR;KHV;7;47;28170
KRR;KHV;7;47;31830
KRR;KHV;1;36;21350
KRR;KHV;1;47;25380
KRR;KHV;1;47;25980
KRR;KHV;1;47;25980
KRR;KHV;1;47;25980
KRR;KHV;2;36;21350
KRR;KHV;2;47;25980
KRR;KHV;2;47;25980
KRR;KHV;2;47;27570
KRR;KHV;2;47;28170
KRR;KHV;5;45;18480
KRR;KHV;5;45;21030
KRR;KHV;5;36;21440
KRR;KHV;5;47;25980
KRR;KHV;5;47;25980
KRR;LPA;6;3;51780
KRR;LPA;6;3;51780
KRR;LPA;6;3;54390
KRR;LPA;6;3;54390
KRR;LPA;6;3;133490
KRR;LPA;4;3;68920
KRR;LPA;4;3;69810
KRR;LPA;4;3;69810
KRR;LPA;4;3;69810
KRR;LPA;4;3;88150
KRR;LPA;1;3;51670
KRR;LPA;1;3;51670
KRR;LPA;1;3;54310
KRR;LPA;1;3;54310
KRR;LPA;1;3;137020
KRR;LPA;5;3;29080
KRR;LPA;5;3;32180
KRR;LPA;5;3;32180
KRR;LPA;5;3;39290
KRR;LPA;5;3;39290
CAG;ROM;3;3;4940
CAG;ROM;3;3;4940
CAG;ROM;3;3;4940
CAG;ROM;3;3;4940
CAG;ROM;3;3;25400
CAG;ROM;6;3;5070
CAG;ROM;6;3;5070
CAG;ROM;6;3;5070
CAG;ROM;6;3;5070
